[Migration Verification Script Execution]
Timestamp: 2026-08-03T18:47:40.531Z
Legacy Repo Root: F:\nexus-p0-controlled-bootstrap
Reform Lab Root: F:\nexus-reform-lab
Manifest Entry Count: 31
--------------------------------------------------------------------------------
[Item 23/31] experiments/slice-0/logs/beads/issue_graph.json -> research/legacy-evidence/failed-slice-0/issue_graph.json | Source SHA: 8eb0bea59285e6b37d60d7e84d4f67025016b1e2ae6c95487321fb6975c86b60 | Record SHA: 8eb0bea59285e6b37d60d7e84d4f67025016b1e2ae6c95487321fb6975c86b60 | Status: VERIFIED-MATCH
[Item 24/31] experiments/slice-0/s0/S0_REPORT.md -> research/legacy-evidence/failed-slice-0/S0_REPORT.md | Source SHA: cc0a7da6131f6cb07971ef414512d9da95f2b183c0f68b2951e783b6d499b107 | Record SHA: cc0a7da6131f6cb07971ef414512d9da95f2b183c0f68b2951e783b6d499b107 | Status: VERIFIED-MATCH
[Item 25/31] experiments/slice-0/s1/compiler.js -> research/legacy-evidence/failed-slice-0/compiler.js | Source SHA: 1eae30d10cba534aebb8d0bc5a1d3e3f33057ae1b9dca0ae90e216e2bf307203 | Record SHA: 1eae30d10cba534aebb8d0bc5a1d3e3f33057ae1b9dca0ae90e216e2bf307203 | Status: VERIFIED-MATCH
[Item 26/31] experiments/slice-0/s1/real_parser.js -> research/legacy-evidence/failed-slice-0/real_parser.js | Source SHA: fa20349d88723ec5626ae326d199d7d7b1b39062a6da3f023d9fece310c7c56a | Record SHA: fa20349d88723ec5626ae326d199d7d7b1b39062a6da3f023d9fece310c7c56a | Status: VERIFIED-MATCH
[Item 27/31] experiments/slice-0/s1/generic_section_parser.js -> research/legacy-evidence/failed-slice-0/generic_section_parser.js | Source SHA: 642b4af59485d8a9822754c18a1e547b47d9ca8688696e2aac73f37fd8a76102 | Record SHA: 642b4af59485d8a9822754c18a1e547b47d9ca8688696e2aac73f37fd8a76102 | Status: VERIFIED-MATCH
[Item 28/31] experiments/slice-0/s1/world/CURRENT_STATE.md -> research/legacy-evidence/failed-slice-0/CURRENT_STATE.md | Source SHA: 32d333a2453a9aa1e0e33b9ea69b4747be511108d63cb14e77c887cd5a45a46c | Record SHA: 32d333a2453a9aa1e0e33b9ea69b4747be511108d63cb14e77c887cd5a45a46c | Status: VERIFIED-MATCH
[Item 29/31] experiments/slice-0/runs/beads-clean-001/operator/command-log.jsonl -> research/legacy-evidence/failed-slice-0/beads-clean-001/command-log.jsonl | Source SHA: fa09d4ff7d0fade82e7eeb18e9883e81c4cdbc0e50c7063bab23faba5638b933 | Record SHA: fa09d4ff7d0fade82e7eeb18e9883e81c4cdbc0e50c7063bab23faba5638b933 | Status: VERIFIED-MATCH
[Item 30/31] experiments/slice-0/runs/beads-clean-001/operator/issue-graph-final.json -> research/legacy-evidence/failed-slice-0/beads-clean-001/issue-graph-final.json | Source SHA: 5a738e37de296db977dda100dd202515d8f6c5a83adbb180d6d1b80f0d79c718 | Record SHA: 5a738e37de296db977dda100dd202515d8f6c5a83adbb180d6d1b80f0d79c718 | Status: VERIFIED-MATCH
[Item 31/31] experiments/slice-0/runs/beads-clean-001/world/WORK_STATE.md -> research/legacy-evidence/failed-slice-0/beads-clean-001/WORK_STATE.md | Source SHA: 8f7511b608871a55145ebdc7cdf98412809cdeb9d0d362fe19a44edf2ba66cf2 | Record SHA: 8f7511b608871a55145ebdc7cdf98412809cdeb9d0d362fe19a44edf2ba66cf2 | Status: VERIFIED-MATCH
--------------------------------------------------------------------------------
Verification Summary: Total Ingested = 31, Passed = 31, Failed = 0
Script Exit Code: 0
